TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,20XX,3,,XA,1220,48996,435,778,1,X,12,2024
1,AK,20XX,3,,XA,1220,12996,3,70,2,X,12,2024
1,AK,20XX,3,,XC,1220,100604,444,1847,1,X,12,2024
1,AK,20XX,3,,XQ,1220,10621,19,138,1,X,12,2024
1,AK,2304,5,CM,,2010,106272,0,0,1,0,12,2024
1,AK,2304,5,CM,,2010,108224,0,0,2,0,12,2024
1,AK,2304,5,CO,,2010,17788,0,0,2,0,12,2024
1,AK,2304,5,GT,,2010,92569,0,0,1,0,12,2024
1,AK,2304,5,GT,,2010,126695,0,0,2,0,12,2024
1,AK,2304,5,MX,,2010,119952,0,0,1,0,12,2024
1,AK,2304,5,MX,,2010,14465,0,0,2,0,12,2024
1,AK,2304,5,NL,,2010,110262,0,0,1,0,12,2024
1,AK,2304,5,NL,,2010,858110,0,0,2,0,12,2024
1,AK,2304,5,PU,,2010,3240,0,0,1,0,12,2024
1,AK,2304,5,TB,,2010,7320,0,0,1,0,12,2024
1,AK,2304,5,TL,,2010,17223,0,0,2,0,12,2024
1,AK,2304,8,SL,,2010,6500,0,0,1,X,12,2024
1,AK,2305,5,TB,,2010,111469,0,0,1,1,12,2024
1,AK,2402,5,CH,,2010,3561,0,0,2,0,12,2024
1,AK,2506,5,BC,,2010,6278,0,0,1,0,12,2024
1,AK,2506,5,BC,,2010,29437,0,0,2,0,12,2024
1,AK,2507,5,BC,,2010,5505,0,0,1,0,12,2024
1,AK,3004,5,,XC,1220,1001377,0,17397,1,X,12,2024
1,AK,3004,5,,XC,1220,14825,0,434,2,X,12,2024
1,AK,3009,5,,XC,1220,622298,0,6148,1,X,12,2024
1,AK,3023,5,,XC,1220,83697,0,3158,1,X,12,2024
1,AK,30XX,3,,XC,1220,7517,8,70,1,X,12,2024
1,AK,3103,5,,XC,1220,4971376,0,49140,1,X,12,2024
1,AK,3103,5,,XC,1220,5315,0,104,2,X,12,2024
1,AK,3103,8,,XC,1220,47686,0,0,1,X,12,2024
1,AK,3104,5,,XY,1220,1537469,0,30358,1,X,12,2024
1,AK,3104,5,,XY,1220,456176,0,8943,2,X,12,2024
1,AK,3106,5,,XC,1220,505639,0,9905,1,X,12,2024
1,AK,3126,5,,XY,1220,296537,0,3765,1,X,12,2024
1,AK,3126,5,,XY,1220,3127461,0,275,2,X,12,2024
1,AK,31XX,3,,XC,1220,51676,593,14,1,X,12,2024
1,AK,31XX,3,,XY,1220,1582320,0,0,2,X,12,2024
1,AK,3310,5,,XA,1220,21541,0,394,1,X,12,2024
1,AK,3401,5,,XM,1220,4831,0,94,1,X,12,2024
1,AK,3403,5,,XS,1220,154030,0,3020,1,X,12,2024
1,AK,35XX,3,,XA,1220,3460,10,105,1,X,12,2024
1,AK,3802,5,,XO,1220,4524,0,88,1,X,12,2024
1,AK,3802,5,,XO,1220,119231,0,509,2,X,12,2024
1,AK,4101,3,,XA,1220,4952,36,97,1,X,12,2024
1,AK,4101,3,,XC,1220,8130,4,158,1,X,12,2024
1,AK,4101,3,,XO,1220,42839,91,841,1,X,12,2024
1,AK,4101,3,,XQ,1220,4500,27,88,1,X,12,2024
1,AK,70XX,5,,XA,1220,2500,0,0,2,X,12,2024
1,AK,70XX,8,,XA,1220,3668,0,72,1,X,12,2024
1,AK,70XX,8,,XC,1220,4548,0,83,1,X,12,2024
1,AK,70XX,8,,XO,1220,2493,0,49,1,X,12,2024
1,AK,70XX,8,,XQ,1220,64,0,1,1,X,12,2024
1,AL,0101,5,,XB,1220,14554,0,926,1,X,12,2024
1,AL,0101,5,,XC,1220,30675,0,136,1,X,12,2024
1,AL,0101,5,,XM,1220,11283,0,326,1,X,12,2024
1,AL,0101,5,,XO,1220,5500,0,544,1,X,12,2024
1,AL,0106,5,,XB,1220,278971,0,4262,1,X,12,2024
1,AL,0115,5,,XB,1220,137666,0,4494,1,X,12,2024
1,AL,0115,5,,XB,1220,1877635,0,20229,2,X,12,2024
1,AL,0115,5,,XM,1220,108037,0,2342,1,X,12,2024
1,AL,01XX,3,,XW,1220,2821,39,0,1,X,12,2024
1,AL,0206,5,,XO,1220,5789,0,455,1,X,12,2024
1,AL,0206,5,,XO,1220,13317,0,203,2,X,12,2024
1,AL,0206,5,,XQ,1220,4284,0,126,1,X,12,2024
