TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,DF,CONTCODE,YEAR,VALUE,SHIPWT,FREIGHT_CHARGES
1,AK,0115,5,,XB,1220,1,X,2024,680793,0,14915
1,AK,01XX,1,,XB,1220,1,X,2024,83377,66318,2842
1,AK,0206,5,,XY,1220,1,X,2024,21550,0,1529
1,AK,0708,5,,XA,1220,1,X,2024,3791,0,24
1,AK,0708,5,,XO,1220,2,X,2024,50144,0,147
1,AK,0712,5,,XM,1220,1,X,2024,9990,0,1
1,AK,0712,5,,XO,1220,1,X,2024,4339,0,449
1,AK,0712,5,,XQ,1220,1,X,2024,14609,0,286
1,AK,0712,5,,XQ,1220,2,X,2024,4006,0,59
1,AK,0712,5,,XY,1220,1,X,2024,10290,0,306
1,AK,07XX,3,,XA,1220,2,X,2024,11410,36,1006
1,AK,07XX,3,,XO,1220,1,X,2024,93057,74,2772
1,AK,07XX,3,,XQ,1220,1,X,2024,15484,7,33
1,AK,07XX,3,,XQ,1220,2,X,2024,70007,226,691
1,AK,07XX,3,,XY,1220,2,X,2024,1190078,2250,25846
1,AK,0901,5,,XO,1220,1,X,2024,35506,0,709
1,AK,0901,5,,XO,1220,2,X,2024,11957,0,262
1,AK,0901,5,,XY,1220,1,X,2024,26482,0,26
1,AK,0901,5,,XY,1220,2,X,2024,26683,0,26
1,AK,0901,6,,XO,1220,1,X,2024,70218,0,695
1,AK,09XX,3,,XC,1220,1,X,2024,502006,4466,10902
1,AK,09XX,3,,XO,1220,1,X,2024,19240,1298,416
1,AK,09XX,3,,XQ,1220,1,X,2024,7391,536,145
1,AK,19XX,1,XX,,2010,1,0,2024,2718633,2649014,0
1,AK,2006,3,,XC,1220,1,X,2024,12373,39,236
1,AK,2006,3,,XM,1220,1,X,2024,47588,619,7
1,AK,20XX,3,,XA,1220,1,X,2024,853442,6807,12141
1,AK,20XX,3,,XA,1220,2,X,2024,986552,1584,18562
1,AK,20XX,3,,XC,1220,1,X,2024,2946241,88025,53706
1,AK,20XX,3,,XC,1220,2,X,2024,41052,270,462
1,AK,20XX,3,,XM,1220,1,X,2024,79475,3393,907
1,AK,20XX,3,,XO,1220,1,X,2024,336371,4322,4205
1,AK,20XX,3,,XO,1220,2,X,2024,19715,62,245
1,AK,20XX,3,,XQ,1220,1,X,2024,214098,4633,5363
1,AK,20XX,3,,XQ,1220,2,X,2024,54508,262,955
1,AK,20XX,3,XX,,2010,1,0,2024,10097,4,0
1,AK,20XX,3,XX,,2010,2,0,2024,4834,25,0
1,AK,20XX,8,,XC,1220,1,X,2024,33343,0,222
1,AK,20XX,8,,XQ,1220,1,X,2024,15111,0,73
1,AK,2301,5,DF,,2010,2,0,2024,2867,0,0
1,AK,2301,5,TM,,2010,1,0,2024,23976,0,0
1,AK,2301,5,TM,,2010,2,0,2024,454435,0,0
1,AK,2302,5,CO,,2010,1,0,2024,3939,0,0
1,AK,2303,5,MX,,2010,1,0,2024,516090,0,0
1,AK,2303,5,MX,,2010,2,0,2024,29618,0,0
1,AK,2303,6,CO,,2010,1,0,2024,229975,0,0
1,AK,2304,5,AG,,2010,1,0,2024,35261,0,0
1,AK,2304,5,CH,,2010,1,0,2024,17001,0,0
1,AK,2304,5,CM,,2010,1,0,2024,226542,0,0
1,AK,2304,5,CM,,2010,2,0,2024,1866122,0,0
1,AK,2304,5,CO,,2010,1,0,2024,474604,0,0
1,AK,2304,5,CO,,2010,2,0,2024,549401,0,0
1,AK,2304,5,DF,,2010,1,0,2024,107274,0,0
1,AK,2304,5,DF,,2010,2,0,2024,17542,0,0
1,AK,2304,5,DG,,2010,1,0,2024,16604,0,0
1,AK,2304,5,DG,,2010,2,0,2024,52210,0,0
1,AK,2304,5,GT,,2010,1,0,2024,1260476,0,0
1,AK,2304,5,GT,,2010,2,0,2024,213735,0,0
1,AK,2304,5,HG,,2010,1,0,2024,252174,0,0
1,AK,2304,5,JA,,2010,1,0,2024,277765,0,0
1,AK,2304,5,JA,,2010,2,0,2024,32358,0,0
1,AK,2304,5,MI,,2010,1,0,2024,21000,0,0
1,AK,2304,5,MI,,2010,2,0,2024,113663,0,0
1,AK,2304,5,MO,,2010,1,0,2024,24446,0,0
1,AK,2304,5,MX,,2010,1,0,2024,1872427,0,0
1,AK,2304,5,MX,,2010,2,0,2024,299050,0,0
1,AK,2304,5,NL,,2010,1,0,2024,2679993,0,0
1,AK,2304,5,NL,,2010,1,1,2024,25000,0,0
1,AK,2304,5,NL,,2010,2,0,2024,4353118,0,0
1,AK,2304,5,OT,,2010,1,0,2024,9866,0,0
1,AK,2304,5,PU,,2010,1,0,2024,42840,0,0
1,AK,2304,5,PU,,2010,2,0,2024,39276,0,0
1,AK,2304,5,QT,,2010,1,0,2024,129834,0,0
1,AK,2304,5,QT,,2010,2,0,2024,91152,0,0
1,AK,2304,5,SL,,2010,1,0,2024,317279,0,0
1,AK,2304,5,SL,,2010,2,0,2024,2848,0,0
1,AK,2304,5,SO,,2010,1,1,2024,180000,0,0
1,AK,2304,5,TB,,2010,1,0,2024,7320,0,0
1,AK,2304,5,TL,,2010,1,0,2024,137056,0,0
1,AK,2304,5,TL,,2010,2,0,2024,117106,0,0
1,AK,2304,5,TM,,2010,1,0,2024,162461,0,0
1,AK,2304,5,TM,,2010,2,0,2024,348663,0,0
1,AK,2304,5,VE,,2010,1,0,2024,90388,0,0
1,AK,2304,6,CO,,2010,1,0,2024,55723,0,0
1,AK,2304,6,NL,,2010,1,0,2024,283783,0,0
1,AK,2304,6,NL,,2010,2,0,2024,323346,0,0
1,AK,2304,8,AG,,2010,1,X,2024,5066,0,0
1,AK,2304,8,CO,,2010,1,X,2024,14060,0,0
1,AK,2304,8,GT,,2010,1,X,2024,13500,0,0
1,AK,2304,8,MX,,2010,1,X,2024,6000,0,0
1,AK,2304,8,QT,,2010,1,X,2024,8000,0,0
1,AK,2304,8,SL,,2010,1,X,2024,6500,0,0
1,AK,2304,8,TM,,2010,1,X,2024,40000,0,0
1,AK,2305,5,CO,,2010,1,0,2024,108819,0,0
1,AK,2305,5,JA,,2010,1,0,2024,83616,0,0
1,AK,2305,5,JA,,2010,2,0,2024,251256,0,0
1,AK,2305,5,MX,,2010,1,0,2024,3165,0,0
1,AK,2305,5,TB,,2010,1,0,2024,4770,0,0
1,AK,2305,5,TB,,2010,1,1,2024,161841,0,0
1,AK,2305,5,TM,,2010,1,0,2024,98954,0,0
1,AK,2305,5,TM,,2010,2,0,2024,96240,0,0
1,AK,2305,8,TM,,2010,1,X,2024,32000,0,0
1,AK,2402,5,CH,,2010,1,0,2024,17133,0,0
1,AK,2402,5,CH,,2010,2,0,2024,3561,0,0
1,AK,2408,5,CH,,2010,1,0,2024,111903,0,0
1,AK,2503,3,XX,,2010,1,0,2024,4029,303,0
1,AK,2506,5,BC,,2010,1,0,2024,18624,0,0
1,AK,2506,5,BC,,2010,2,0,2024,29437,0,0
1,AK,2507,5,BC,,2010,1,0,2024,38604,0,0
1,AK,2604,5,QT,,2010,1,0,2024,7580,0,0
1,AK,2604,5,SI,,2010,1,0,2024,8602,0,0
1,AK,2604,5,SI,,2010,2,0,2024,4758,0,0
1,AK,2604,5,SO,,2010,1,0,2024,42776,0,0
1,AK,2604,5,YU,,2010,1,0,2024,207120,0,0
1,AK,29XX,3,,XC,1220,1,X,2024,4384,8,75
1,AK,3001,5,,XC,1220,1,X,2024,10493,0,255
1,AK,3001,5,,XC,1220,2,X,2024,2903,0,63
1,AK,3001,5,,XO,1220,1,X,2024,3887,0,1
1,AK,3004,5,,XA,1220,1,X,2024,4156,0,19
1,AK,3004,5,,XC,1220,1,X,2024,51318220,0,638454
1,AK,3004,5,,XC,1220,2,X,2024,383711,0,5510
1,AK,3004,5,,XO,1220,1,X,2024,9392,0,263
1,AK,3004,5,,XY,1220,1,X,2024,50963,0,2178
1,AK,3004,5,,XY,1220,2,X,2024,625259,0,7582
1,AK,3009,5,,XC,1220,1,X,2024,7553665,0,48662
1,AK,3009,5,,XC,1220,2,X,2024,318391,0,6675
1,AK,3019,5,,XC,1220,1,X,2024,6947,0,125
1,AK,3019,8,,XC,1220,1,X,2024,10070,0,73
1,AK,3023,5,,XC,1220,1,X,2024,4664142,0,45616
1,AK,3023,5,,XC,1220,2,X,2024,78594,0,3742
1,AK,30XX,1,,XC,1220,1,X,2024,1388682,15440904,12718
1,AK,30XX,3,,XA,1220,1,X,2024,6161,13,560
1,AK,30XX,3,,XC,1220,1,X,2024,1701710,22078,5820
1,AK,30XX,3,,XC,1220,2,X,2024,20536,85,484
1,AK,3101,5,,XC,1220,1,X,2024,254216,0,5550
1,AK,3103,5,,XC,1220,1,X,2024,64982477,0,656789
