TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,03,5,,XC,1220,624398,0,9409,1,X,12,2024
1,AK,03,5,,XY,1220,274834,0,3765,1,X,12,2024
1,AK,15,5,,XC,1220,418823,0,12982,1,X,12,2024
1,AK,23,5,,XC,1220,448020,0,2618,1,X,12,2024
1,AK,25,5,,XO,1220,4962,0,1,2,X,12,2024
1,AK,27,5,,XC,1220,5477015,0,59045,1,X,12,2024
1,AK,38,3,,XA,1220,4028,20,77,1,X,12,2024
1,AK,38,5,NL,,2010,660596,0,0,2,0,12,2024
1,AK,39,5,BC,,2010,6278,0,0,1,0,12,2024
1,AK,39,5,MX,,2010,14465,0,0,2,0,12,2024
1,AK,39,5,PU,,2010,3240,0,0,1,0,12,2024
1,AK,39,5,TL,,2010,11148,0,0,2,0,12,2024
1,AK,40,5,MX,,2010,119952,0,0,1,0,12,2024
1,AK,42,3,,XC,1220,10430,267,99,1,X,12,2024
1,AK,56,5,,XC,1220,4508,0,93,1,X,12,2024
1,AK,56,5,NL,,2010,194483,0,0,2,0,12,2024
1,AK,63,3,,XA,1220,3239,370,54,1,X,12,2024
1,AK,64,3,,XQ,1220,3230,18,68,1,X,12,2024
1,AK,70,3,,XC,1220,41106,579,12,1,X,12,2024
1,AK,72,5,BC,,2010,5505,0,0,1,0,12,2024
1,AK,73,3,,XC,1220,3095,9,1,1,X,12,2024
1,AK,73,5,,XC,1220,4301,0,84,2,X,12,2024
1,AK,73,5,NL,,2010,12951,0,0,1,0,12,2024
1,AK,73,5,TL,,2010,6075,0,0,2,0,12,2024
1,AK,75,3,,XA,1220,4952,36,97,1,X,12,2024
1,AK,76,3,,XC,1220,4255,7,83,1,X,12,2024
1,AK,76,5,,XM,1220,4831,0,94,1,X,12,2024
1,AK,76,5,NL,,2010,97311,0,0,1,0,12,2024
