TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,28,5,1220,4584,0,297,2,X,12,2024
1,0101,29,5,1220,123404,0,9394,1,X,12,2024
1,0101,32,5,1220,24098,0,911,1,X,12,2024
1,0101,32,5,1220,2834,0,193,2,X,12,2024
1,0101,35,5,1220,100094,0,10938,1,X,12,2024
1,0101,35,5,1220,17238,0,2014,2,X,12,2024
1,0101,38,5,1220,42564,0,3227,1,X,12,2024
1,0101,39,5,1220,224053,0,14689,1,X,12,2024
1,0101,39,5,1220,21353,0,1317,2,X,12,2024
1,0101,40,5,1220,162430,0,8144,1,X,12,2024
1,0101,40,5,1220,38890,0,1189,2,X,12,2024
1,0101,44,5,1220,5500,0,544,1,X,12,2024
1,0101,48,5,1220,112563,0,6823,1,X,12,2024
1,0101,54,5,1220,11503,0,1473,1,X,12,2024
1,0101,57,5,1220,3048,0,113,1,X,12,2024
1,0101,58,5,1220,14563,0,907,1,X,12,2024
1,0101,65,5,1220,3237,0,109,2,X,12,2024
1,0101,68,5,1220,108178,0,8976,1,X,12,2024
1,0101,68,5,1220,3808,0,126,2,X,12,2024
1,0101,70,5,1220,95811,0,5742,1,X,12,2024
1,0101,70,5,1220,16300,0,1038,2,X,12,2024
1,0101,73,5,1220,604392,0,24405,1,X,12,2024
1,0101,73,5,1220,127645,0,5269,2,X,12,2024
1,0101,76,5,1220,22559,0,2334,1,X,12,2024
1,0101,82,5,1220,11644,0,587,1,X,12,2024
1,0101,82,5,1220,4578,0,121,2,X,12,2024
1,0101,83,5,1220,3401,0,153,1,X,12,2024
1,0101,84,5,1220,945422,0,27282,1,X,12,2024
1,0101,84,5,1220,165800,0,6441,2,X,12,2024
1,0101,85,5,1220,391315,0,5794,1,X,12,2024
1,0101,85,5,1220,1060637,0,19341,2,X,12,2024
1,0101,87,5,1220,160932,0,4649,1,X,12,2024
1,0101,87,5,1220,3995,0,143,2,X,12,2024
1,0101,88,5,1220,831949,0,3305,1,X,12,2024
1,0101,88,5,1220,9052,0,126,2,X,12,2024
1,0101,90,5,1220,98826,0,1164,1,X,12,2024
1,0101,90,5,1220,112379,0,1855,2,X,12,2024
1,0101,94,5,1220,24637,0,701,1,X,12,2024
1,0101,94,5,1220,23832,0,371,2,X,12,2024
1,0101,98,5,1220,542334,0,1113,1,X,12,2024
1,0102,48,5,1220,84923,0,837,1,X,12,2024
1,0103,03,5,1220,10675,0,233,1,X,12,2024
1,0103,03,8,1220,41490,0,905,1,X,12,2024
1,0103,40,8,1220,6981,0,153,1,X,12,2024
1,0103,84,5,1220,9317,0,277,1,X,12,2024
1,0104,01,5,1220,65052,0,1237,1,X,12,2024
1,0104,07,5,1220,57732,0,2225,1,X,12,2024
1,0104,25,5,1220,14169,0,274,1,X,12,2024
1,0104,27,5,1220,10492,0,205,1,X,12,2024
1,0104,28,5,1220,25117,0,3158,1,X,12,2024
1,0104,29,5,1220,13556,0,265,1,X,12,2024
1,0104,29,5,1220,15618,0,1890,2,X,12,2024
1,0104,31,5,1220,76574,0,9466,1,X,12,2024
1,0104,38,5,1220,44972,0,849,1,X,12,2024
1,0104,39,5,1220,89414,0,2573,1,X,12,2024
1,0104,39,6,1220,96701,0,1382,1,X,12,2024
1,0104,40,5,1220,87918,0,7777,1,X,12,2024
1,0104,44,5,1220,7601894,0,229404,1,X,12,2024
1,0104,47,5,1220,1063909,0,20796,1,X,12,2024
1,0104,48,5,1220,4707666,0,262762,1,X,12,2024
1,0104,48,5,1220,3293,0,96,2,X,12,2024
1,0104,48,6,1220,522303,0,3590,1,X,12,2024
1,0104,51,5,1220,5683,0,44,1,X,12,2024
1,0104,54,5,1220,13487,0,156,1,X,12,2024
1,0104,55,5,1220,150249,0,1728,1,X,12,2024
1,0104,57,5,1220,8440,0,181,1,X,12,2024
1,0104,59,5,1220,32450,0,635,1,X,12,2024
1,0104,68,5,1220,7107,0,338,1,X,12,2024
1,0104,69,5,1220,8661,0,251,1,X,12,2024
1,0104,70,8,1220,2568,0,61,2,X,12,2024
1,0104,72,5,1220,139162,0,3396,1,X,12,2024
1,0104,72,6,1220,203533,0,5057,1,X,12,2024
1,0104,73,5,1220,18881,0,365,1,X,12,2024
1,0104,74,5,1220,181849,0,4047,1,X,12,2024
1,0104,75,5,1220,3052,0,83,1,X,12,2024
1,0104,76,5,1220,140810,0,10098,1,X,12,2024
1,0104,84,5,1220,147285,0,4496,1,X,12,2024
1,0104,84,5,1220,68525,0,3353,2,X,12,2024
1,0104,85,5,1220,18950,0,1349,1,X,12,2024
1,0104,87,5,1220,1425535,0,28697,1,X,12,2024
1,0104,87,5,1220,139078,0,1210,2,X,12,2024
1,0104,88,5,1220,6956,0,136,1,X,12,2024
1,0104,89,5,1220,5243,0,76,1,X,12,2024
1,0104,94,5,1220,27871,0,1302,1,X,12,2024
1,0104,95,5,1220,44367,0,1291,2,X,12,2024
1,0104,97,5,1220,8460,0,183,1,X,12,2024
1,0105,25,6,1220,904839,0,74639,2,X,12,2024
1,0105,27,6,1220,626808,0,8057,1,X,12,2024
1,0105,28,6,1220,157429,0,350,1,X,12,2024
1,0105,38,6,1220,966737,0,9570,1,X,12,2024
1,0105,44,5,1220,37828,0,740,2,X,12,2024
1,0105,44,6,1220,908831,0,17850,1,X,12,2024
1,0105,68,6,1220,1202505,0,57862,1,X,12,2024
1,0106,01,5,1220,45988,0,2186,1,X,12,2024
1,0106,03,5,1220,3649415,0,58587,1,X,12,2024
1,0106,03,5,1220,61753,0,846,2,X,12,2024
1,0106,04,5,1220,128180,0,1402,1,X,12,2024
1,0106,05,5,1220,117459,0,3086,1,X,12,2024
1,0106,06,5,1220,27837,0,79,1,X,12,2024
1,0106,06,5,1220,171718,0,154,2,X,12,2024
1,0106,07,5,1220,55769,0,1423,1,X,12,2024
1,0106,08,5,1220,46075,0,3158,1,X,12,2024
