TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,DF,CONTCODE,YEAR,VALUE,SHIPWT,FREIGHT_CHARGES
1,0101,03,5,1220,1,X,2024,7000,0,153
1,0101,11,5,1220,1,X,2024,12761,0,246
1,0101,19,5,1220,1,X,2024,18215,0,73
1,0101,19,5,1220,2,X,2024,31340,0,607
1,0101,28,5,1220,2,X,2024,4584,0,297
1,0101,29,5,1220,1,X,2024,131377,0,10359
1,0101,32,5,1220,1,X,2024,38829,0,2788
1,0101,32,5,1220,2,X,2024,2834,0,193
1,0101,35,5,1220,1,X,2024,113653,0,11207
1,0101,35,5,1220,2,X,2024,17238,0,2014
1,0101,38,5,1220,1,X,2024,90220,0,4017
1,0101,39,5,1220,1,X,2024,320770,0,15368
1,0101,39,5,1220,2,X,2024,21353,0,1317
1,0101,40,5,1220,1,X,2024,205281,0,9839
1,0101,40,5,1220,2,X,2024,93352,0,1915
1,0101,40,6,1220,1,X,2024,113346,0,1912
1,0101,40,6,1220,2,X,2024,45489,0,766
1,0101,42,5,1220,1,X,2024,21692,0,313
1,0101,44,5,1220,1,X,2024,8942,0,611
1,0101,44,5,1220,2,X,2024,4926,0,191
1,0101,47,5,1220,1,X,2024,3340,0,164
1,0101,48,5,1220,1,X,2024,128650,0,7149
1,0101,54,5,1220,1,X,2024,11503,0,1473
1,0101,57,5,1220,1,X,2024,13071,0,483
1,0101,58,5,1220,1,X,2024,14563,0,907
1,0101,59,5,1220,1,X,2024,3311,0,148
1,0101,63,5,1220,1,X,2024,26913,0,595
1,0101,63,5,1220,2,X,2024,4078,0,91
1,0101,65,5,1220,2,X,2024,3237,0,109
1,0101,68,5,1220,1,X,2024,108178,0,8976
1,0101,68,5,1220,2,X,2024,3808,0,126
1,0101,69,5,1220,2,X,2024,7745,0,123
1,0101,70,5,1220,1,X,2024,95811,0,5742
1,0101,70,5,1220,2,X,2024,16300,0,1038
1,0101,71,5,1220,1,X,2024,3795,0,65
1,0101,72,5,1220,1,X,2024,25983,0,2156
1,0101,72,5,1220,2,X,2024,2932,0,354
1,0101,72,6,1220,1,X,2024,713904,0,23010
1,0101,73,5,1220,1,X,2024,643135,0,26435
1,0101,73,5,1220,2,X,2024,202588,0,6631
1,0101,73,6,1220,1,X,2024,194524,0,7030
1,0101,74,5,1220,1,X,2024,19232,0,550
1,0101,74,5,1220,2,X,2024,12748,0,491
1,0101,76,5,1220,1,X,2024,51845,0,4401
1,0101,81,5,1220,1,X,2024,5570,0,24
1,0101,82,5,1220,1,X,2024,11644,0,587
1,0101,82,5,1220,2,X,2024,4578,0,121
1,0101,83,5,1220,1,X,2024,3401,0,153
1,0101,84,5,1220,1,X,2024,1461596,0,30626
1,0101,84,5,1220,2,X,2024,268743,0,8656
1,0101,85,5,1220,1,X,2024,446962,0,6886
1,0101,85,5,1220,2,X,2024,1199795,0,21457
1,0101,86,5,1220,2,X,2024,5419,0,141
1,0101,87,5,1220,1,X,2024,163757,0,4701
1,0101,87,5,1220,2,X,2024,15196,0,444
1,0101,87,6,1220,1,X,2024,9468,0,242
1,0101,87,6,1220,2,X,2024,3413,0,87
1,0101,88,5,1220,1,X,2024,936707,0,3770
1,0101,88,5,1220,2,X,2024,9052,0,126
1,0101,89,8,1220,1,X,2024,439899,0,4354
1,0101,90,5,1220,1,X,2024,238145,0,2485
1,0101,90,5,1220,2,X,2024,136971,0,2475
1,0101,94,5,1220,1,X,2024,33277,0,831
1,0101,94,5,1220,2,X,2024,59313,0,700
1,0101,98,5,1220,1,X,2024,542334,0,1113
1,0102,01,5,1220,1,X,2024,2823,0,64
1,0102,07,5,1220,1,X,2024,60499,0,2332
1,0102,44,5,1220,1,X,2024,6417,0,160
1,0102,48,5,1220,1,X,2024,100704,0,1146
1,0102,72,5,1220,1,X,2024,49970,0,1537
1,0102,72,6,1220,1,X,2024,349896,0,6212
1,0102,73,6,1220,1,X,2024,192544,0,2637
1,0102,73,8,1220,1,X,2024,15373,0,167
1,0102,74,5,1220,1,X,2024,67792,0,183
1,0102,76,5,1220,1,X,2024,9673,0,25
1,0102,87,5,1220,1,X,2024,7552,0,126
1,0102,89,8,1220,2,X,2024,75461,0,747
1,0103,03,5,1220,1,X,2024,126143,0,2251
1,0103,03,8,1220,1,X,2024,162952,0,3560
1,0103,05,5,1220,1,X,2024,89011,0,3911
1,0103,14,5,1220,2,X,2024,33623,0,1809
1,0103,23,5,1220,1,X,2024,34446,0,34
1,0103,32,5,1220,1,X,2024,36351,0,713
1,0103,38,5,1220,2,X,2024,3069,0,2
1,0103,39,5,1220,1,X,2024,38672,0,969
1,0103,40,5,1220,1,X,2024,30463,0,571
1,0103,40,8,1220,1,X,2024,6981,0,153
1,0103,44,5,1220,1,X,2024,29849,0,740
1,0103,44,8,1220,1,X,2024,3219,0,80
1,0103,49,5,1220,1,X,2024,15677,0,530
1,0103,61,5,1220,1,X,2024,5411,0,168
1,0103,62,5,1220,1,X,2024,2692,0,87
1,0103,62,5,1220,2,X,2024,20791,0,262
1,0103,69,5,1220,1,X,2024,3058,0,108
1,0103,72,5,1220,1,X,2024,3320,0,82
1,0103,73,5,1220,1,X,2024,72355,0,2830
1,0103,73,5,1220,2,X,2024,18131,0,81
1,0103,73,8,1220,1,X,2024,10784,0,437
1,0103,83,5,1220,1,X,2024,15624,0,321
1,0103,84,5,1220,1,X,2024,731201,0,3078
1,0103,84,5,1220,2,X,2024,502228,0,930
1,0103,85,5,1220,1,X,2024,95726,0,595
1,0103,85,5,1220,2,X,2024,37185,0,28
1,0103,87,5,1220,1,X,2024,127515,0,1108
1,0103,87,5,1220,2,X,2024,411432,0,3294
1,0103,89,5,1220,1,X,2024,89626,0,0
1,0103,90,5,1220,1,X,2024,3854,0,3
1,0103,90,8,1220,1,X,2024,2732,0,69
1,0104,01,5,1220,1,X,2024,2437401,0,46150
1,0104,07,5,1220,1,X,2024,291671,0,11238
1,0104,08,5,1220,1,X,2024,916609,0,24846
1,0104,10,6,1220,1,X,2024,122510,0,2398
1,0104,11,5,1220,1,X,2024,190546,0,5488
1,0104,13,5,1220,1,X,2024,12928,0,200
1,0104,13,5,1220,2,X,2024,8521,0,166
1,0104,15,5,1220,2,X,2024,128478,0,1271
1,0104,17,5,1220,1,X,2024,2320721,0,97414
