TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,20XX,3,,XA,1220,56738,115,367,1,X,01,2025
1,AK,20XX,3,,XA,1220,8219,7,747,2,X,01,2025
1,AK,20XX,3,,XC,1220,36054,879,843,1,X,01,2025
1,AK,20XX,3,,XM,1220,6898,18,122,1,X,01,2025
1,AK,20XX,3,,XO,1220,23191,5,454,1,X,01,2025
1,AK,20XX,3,,XQ,1220,9869,170,138,1,X,01,2025
1,AK,2304,5,AG,,2010,19770,0,0,2,0,01,2025
1,AK,2304,5,CM,,2010,76848,0,0,1,0,01,2025
1,AK,2304,5,CM,,2010,30640,0,0,2,0,01,2025
1,AK,2304,5,CO,,2010,40826,0,0,2,0,01,2025
1,AK,2304,5,DF,,2010,4600,0,0,2,0,01,2025
1,AK,2304,5,GT,,2010,1010140,0,0,1,0,01,2025
1,AK,2304,5,GT,,2010,787124,0,0,2,0,01,2025
1,AK,2304,5,JA,,2010,2762,0,0,1,0,01,2025
1,AK,2304,5,JA,,2010,35133,0,0,2,0,01,2025
1,AK,2304,5,MX,,2010,43877,0,0,1,0,01,2025
1,AK,2304,5,MX,,2010,4638,0,0,2,0,01,2025
1,AK,2304,5,NL,,2010,237129,0,0,1,0,01,2025
1,AK,2304,5,NL,,2010,1003312,0,0,2,0,01,2025
1,AK,2304,5,QT,,2010,3972,0,0,1,0,01,2025
1,AK,2304,5,TL,,2010,10419,0,0,2,0,01,2025
1,AK,2304,6,NL,,2010,330837,0,0,2,0,01,2025
1,AK,2304,8,TM,,2010,5100,0,0,1,X,01,2025
1,AK,2506,5,MX,,2010,42286,0,0,1,0,01,2025
1,AK,26XX,3,,XA,1220,539747,1988,1737,1,X,01,2025
1,AK,3001,5,,XC,1220,3357,0,72,1,X,01,2025
1,AK,3004,5,,XC,1220,508196,0,8916,1,X,01,2025
1,AK,3004,5,,XC,1220,24807,0,309,2,X,01,2025
1,AK,3009,5,,XC,1220,597406,0,3539,1,X,01,2025
1,AK,3023,5,,XC,1220,83421,0,3127,1,X,01,2025
1,AK,30XX,1,,XC,1220,285363,2455430,2824,1,X,01,2025
1,AK,30XX,3,,XC,1220,18558,22,335,1,X,01,2025
1,AK,30XX,3,,XM,1220,6669,17,169,1,X,01,2025
