TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,03,5,,XC,1220,339972,0,5390,1,X,01,2025
1,AK,15,5,,XC,1220,430772,0,6075,1,X,01,2025
1,AK,16,5,,XC,1220,86092,0,1688,1,X,01,2025
1,AK,23,5,,XC,1220,332187,0,2429,1,X,01,2025
1,AK,27,5,,XC,1220,5142708,0,56594,1,X,01,2025
1,AK,28,5,,XY,1220,22871,0,583,1,X,01,2025
1,AK,32,5,MX,,2010,42286,0,0,1,0,01,2025
1,AK,38,6,NL,,2010,330837,0,0,2,0,01,2025
1,AK,39,5,MX,,2010,43877,0,0,1,0,01,2025
1,AK,39,5,QT,,2010,3972,0,0,1,0,01,2025
1,AK,39,5,TL,,2010,10419,0,0,2,0,01,2025
1,AK,40,5,NL,,2010,21722,0,0,2,0,01,2025
1,AK,44,1,,XC,1220,285363,2455430,2824,1,X,01,2025
1,AK,48,5,CM,,2010,49481,0,0,1,0,01,2025
1,AK,49,5,CM,,2010,24128,0,0,1,0,01,2025
1,AK,56,5,NL,,2010,280532,0,0,2,0,01,2025
1,AK,60,5,CO,,2010,37446,0,0,2,0,01,2025
1,AK,63,3,,XC,1220,4771,101,224,1,X,01,2025
1,AK,73,3,,XC,1220,2818,494,82,1,X,01,2025
1,AK,73,5,,XY,1220,3472,0,84,1,X,01,2025
1,AK,73,5,AG,,2010,19770,0,0,2,0,01,2025
1,AK,73,5,GT,,2010,5315,0,0,1,0,01,2025
1,AK,74,5,NL,,2010,86784,0,0,2,0,01,2025
1,AK,76,5,NL,,2010,185329,0,0,1,0,01,2025
1,AK,82,3,,XA,1220,3262,37,63,1,X,01,2025
1,AK,82,5,,XY,1220,29765,0,580,1,X,01,2025
1,AK,82,5,MX,,2010,4638,0,0,2,0,01,2025
1,AK,83,3,,XC,1220,6966,6,127,1,X,01,2025
1,AK,84,3,,XA,1220,7516,29,68,1,X,01,2025
1,AK,84,3,,XC,1220,5049,237,100,1,X,01,2025
1,AK,84,5,,XA,1220,28876,0,566,1,X,01,2025
1,AK,84,5,,XO,1220,367841,0,14,1,X,01,2025
1,AK,84,5,,XO,1220,2719,0,0,2,X,01,2025
1,AK,84,5,,XY,1220,1327142,0,17394,1,X,01,2025
1,AK,84,5,,XY,1220,313844,0,6134,2,X,01,2025
1,AK,84,5,CM,,2010,18148,0,0,2,0,01,2025
1,AK,84,5,GT,,2010,824495,0,0,1,0,01,2025
1,AK,84,5,GT,,2010,750144,0,0,2,0,01,2025
1,AK,84,5,JA,,2010,2762,0,0,1,0,01,2025
1,AK,84,5,JA,,2010,12451,0,0,2,0,01,2025
1,AK,84,5,NL,,2010,51800,0,0,1,0,01,2025
1,AK,84,5,NL,,2010,537716,0,0,2,0,01,2025
1,AK,85,3,,XA,1220,25118,24,68,1,X,01,2025
1,AK,85,3,,XA,1220,8219,7,747,2,X,01,2025
1,AK,85,3,,XC,1220,2714,25,42,1,X,01,2025
1,AK,85,3,,XQ,1220,7302,157,69,1,X,01,2025
1,AK,85,5,,XM,1220,4001,0,87,1,X,01,2025
1,AK,85,5,,XY,1220,17487,0,1,2,X,01,2025
1,AK,85,5,CM,,2010,3239,0,0,1,0,01,2025
1,AK,85,5,CO,,2010,3380,0,0,2,0,01,2025
1,AK,85,5,GT,,2010,27226,0,0,1,0,01,2025
1,AK,85,5,GT,,2010,36980,0,0,2,0,01,2025
1,AK,85,5,NL,,2010,76558,0,0,2,0,01,2025
1,AK,87,5,,XM,1220,5989,0,117,1,X,01,2025
1,AK,87,5,,XO,1220,5221,0,177,1,X,01,2025
1,AK,87,5,,XY,1220,65800,0,651,1,X,01,2025
1,AK,87,5,CM,,2010,12492,0,0,2,0,01,2025
1,AK,87,5,DF,,2010,4600,0,0,2,0,01,2025
1,AK,87,5,JA,,2010,22682,0,0,2,0,01,2025
1,AK,87,8,TM,,2010,5100,0,0,1,X,01,2025
1,AK,88,3,,XA,1220,565869,2017,1905,1,X,01,2025
1,AK,88,3,,XC,1220,37263,40,604,1,X,01,2025
1,AK,88,3,,XM,1220,6898,18,122,1,X,01,2025
1,AK,88,3,,XQ,1220,2567,13,69,1,X,01,2025
1,AK,88,3,,XQ,1220,960318,2068,0,2,X,01,2025
1,AK,88,3,XX,,2010,4600,36,0,1,0,01,2025
1,AK,88,5,,XA,1220,13277,0,103,1,X,01,2025
1,AK,88,5,,XC,1220,3357,0,72,1,X,01,2025
1,AK,88,5,,XC,1220,4571,0,89,2,X,01,2025
1,AK,88,5,,XM,1220,5339,0,107,1,X,01,2025
1,AK,88,5,,XY,1220,29898,0,452,1,X,01,2025
1,AK,88,5,,XY,1220,10289,0,306,2,X,01,2025
1,AK,89,5,,XC,1220,6661,0,98,2,X,01,2025
1,AK,90,3,,XM,1220,6669,17,169,1,X,01,2025
1,AK,90,3,,XO,1220,23191,5,454,1,X,01,2025
1,AK,90,3,,XO,1220,50731,25,530,2,X,01,2025
1,AK,90,3,XX,,2010,6653,3,0,2,0,01,2025
1,AK,90,5,,XY,1220,51780,0,1012,2,X,01,2025
1,AK,94,5,,XC,1220,3490,0,68,2,X,01,2025
1,AK,94,5,GT,,2010,153104,0,0,1,0,01,2025
1,AK,95,5,,XA,1220,3216,0,63,2,X,01,2025
1,AK,95,5,,XC,1220,10085,0,54,2,X,01,2025
1,AK,97,3,,XC,1220,3389,1,66,1,X,01,2025
1,AK,98,8,,XA,1220,1016,0,30,1,X,01,2025
1,AK,98,8,,XC,1220,8112,0,153,1,X,01,2025
1,AK,98,8,,XM,1220,730,0,17,1,X,01,2025
1,AK,98,8,,XQ,1220,2065,0,61,1,X,01,2025
1,AK,98,8,,XQ,1220,2153,0,234,2,X,01,2025
1,AL,01,3,XX,,2010,2284930,3514,0,1,0,01,2025
1,AL,01,5,,XO,1220,109146,0,2182,1,X,01,2025
1,AL,02,5,,XC,1220,19898,0,138,1,X,01,2025
1,AL,02,5,,XO,1220,1067429,0,17674,1,X,01,2025
1,AL,02,5,JA,,2010,70485,0,0,1,0,01,2025
1,AL,02,5,NL,,2010,47591,0,0,1,0,01,2025
1,AL,02,5,TM,,2010,23608,0,0,1,0,01,2025
1,AL,02,5,TM,,2010,26000,0,0,1,1,01,2025
1,AL,02,5,YU,,2010,86461,0,0,1,0,01,2025
1,AL,02,8,NL,,2010,22397,0,0,1,X,01,2025
1,AL,04,3,XX,,2010,196475,3642,0,1,0,01,2025
1,AL,04,5,,XC,1220,905096,0,3462,1,X,01,2025
1,AL,04,5,,XO,1220,1142723,0,1381,1,X,01,2025
1,AL,04,5,QT,,2010,813000,0,0,1,0,01,2025
