TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,21,5,1220,45160,0,2437,1,X,01,2025
1,0101,21,5,1220,12138,0,382,2,X,01,2025
1,0101,27,5,1220,3261,0,318,1,X,01,2025
1,0101,29,5,1220,3077,0,157,2,X,01,2025
1,0101,30,5,1220,26902,0,125,1,X,01,2025
1,0101,32,5,1220,89444,0,4266,1,X,01,2025
1,0101,32,5,1220,7960,0,429,2,X,01,2025
1,0101,33,5,1220,17263,0,908,1,X,01,2025
1,0101,34,5,1220,24614,0,2444,1,X,01,2025
1,0101,35,5,1220,215805,0,23743,1,X,01,2025
1,0101,35,5,1220,3346,0,391,2,X,01,2025
1,0101,38,5,1220,3296,0,398,1,X,01,2025
1,0101,38,5,1220,3516,0,424,2,X,01,2025
1,0101,39,5,1220,249244,0,17789,1,X,01,2025
1,0101,39,5,1220,51260,0,1702,2,X,01,2025
1,0101,40,5,1220,341925,0,14557,1,X,01,2025
1,0101,40,5,1220,70364,0,1736,2,X,01,2025
1,0101,44,5,1220,37468,0,2435,1,X,01,2025
1,0101,48,5,1220,24360,0,1448,1,X,01,2025
1,0101,48,5,1220,4825,0,521,2,X,01,2025
1,0101,49,5,1220,2667,0,166,1,X,01,2025
1,0101,58,5,1220,8731,0,764,1,X,01,2025
1,0101,59,5,1220,28480,0,401,1,X,01,2025
1,0101,61,5,1220,3729,0,82,2,X,01,2025
1,0101,62,5,1220,3567,0,352,2,X,01,2025
1,0101,68,5,1220,17515,0,214,1,X,01,2025
1,0101,68,5,1220,6139,0,250,2,X,01,2025
1,0101,69,5,1220,7265,0,624,1,X,01,2025
1,0101,70,5,1220,39091,0,1183,1,X,01,2025
1,0101,70,5,1220,8412,0,534,2,X,01,2025
1,0101,72,5,1220,20628,0,572,1,X,01,2025
1,0101,73,5,1220,617791,0,36410,1,X,01,2025
1,0101,73,5,1220,82533,0,3634,2,X,01,2025
1,0101,74,5,1220,3978,0,213,1,X,01,2025
1,0101,74,5,1220,7246,0,250,2,X,01,2025
1,0101,75,5,1220,3598,0,125,1,X,01,2025
1,0101,76,5,1220,185698,0,3713,1,X,01,2025
1,0101,76,5,1220,3408,0,125,2,X,01,2025
1,0101,80,5,1220,36452,0,817,1,X,01,2025
1,0101,82,5,1220,5989,0,118,1,X,01,2025
1,0101,82,5,1220,5334,0,136,2,X,01,2025
1,0101,83,5,1220,17603,0,802,1,X,01,2025
1,0101,83,5,1220,4524,0,510,2,X,01,2025
1,0101,84,5,1220,860282,0,24800,1,X,01,2025
1,0101,84,5,1220,449629,0,12030,2,X,01,2025
1,0101,85,5,1220,169988,0,3570,1,X,01,2025
1,0101,85,5,1220,645167,0,4521,2,X,01,2025
1,0101,87,5,1220,76037,0,2302,1,X,01,2025
1,0101,88,5,1220,2490652,0,7398,1,X,01,2025
1,0101,88,5,1220,96426,0,602,2,X,01,2025
1,0101,90,5,1220,198405,0,1659,1,X,01,2025
1,0101,90,5,1220,90725,0,1719,2,X,01,2025
1,0101,94,5,1220,12248,0,800,1,X,01,2025
1,0101,94,5,1220,5721,0,558,2,X,01,2025
1,0101,95,5,1220,2951,0,255,1,X,01,2025
1,0101,96,5,1220,3293,0,135,2,X,01,2025
1,0102,01,5,1220,3550,0,38,1,X,01,2025
1,0102,72,6,1220,36104,0,897,1,X,01,2025
1,0102,76,5,1220,14862,0,1401,1,X,01,2025
1,0102,90,8,1220,11955,0,0,1,X,01,2025
1,0102,90,8,1220,55081,0,0,2,X,01,2025
1,0103,03,8,1220,19168,0,419,1,X,01,2025
1,0103,83,5,1220,2994,0,55,1,X,01,2025
1,0104,01,5,1220,83553,0,1583,1,X,01,2025
1,0104,02,5,1220,35861,0,354,1,X,01,2025
1,0104,07,5,1220,52186,0,2011,1,X,01,2025
1,0104,17,5,1220,319152,0,15861,1,X,01,2025
1,0104,19,5,1220,92885,0,15711,1,X,01,2025
1,0104,25,5,1220,15961,0,378,1,X,01,2025
1,0104,29,5,1220,22848,0,445,1,X,01,2025
1,0104,31,5,1220,34106,0,3735,1,X,01,2025
1,0104,38,5,1220,135233,0,2436,1,X,01,2025
1,0104,39,5,1220,114489,0,3401,1,X,01,2025
