TRDTYPE,USASTATE,DEPE,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,09XX,3,,XO,1220,13854,1081,271,1,X,11,2024
1,AK,2006,3,,XM,1220,22775,578,0,1,X,11,2024
1,AK,20XX,3,,XA,1220,40425,100,906,1,X,11,2024
1,AK,20XX,3,,XC,1220,79902,716,1412,1,X,11,2024
1,AK,20XX,3,,XO,1220,38135,90,336,1,X,11,2024
1,AK,20XX,3,,XQ,1220,13611,7,121,1,X,11,2024
1,AK,20XX,3,XX,,2010,4091,1,0,1,0,11,2024
1,AK,2304,5,CM,,2010,61181,0,0,2,0,11,2024
1,AK,2304,5,CO,,2010,5175,0,0,1,0,11,2024
1,AK,2304,5,DF,,2010,29505,0,0,1,0,11,2024
1,AK,2304,5,JA,,2010,40665,0,0,1,0,11,2024
1,AK,2304,5,MX,,2010,339942,0,0,1,0,11,2024
1,AK,2304,5,NL,,2010,611928,0,0,1,0,11,2024
1,AK,2304,5,NL,,2010,296230,0,0,2,0,11,2024
1,AK,2304,5,QT,,2010,14220,0,0,2,0,11,2024
1,AK,2304,5,SL,,2010,20317,0,0,1,0,11,2024
1,AK,2304,5,TL,,2010,42913,0,0,1,0,11,2024
1,AK,2304,5,TL,,2010,12008,0,0,2,0,11,2024
1,AK,3001,5,,XC,1220,2903,0,63,2,X,11,2024
1,AK,3004,5,,XC,1220,4491225,0,46098,1,X,11,2024
1,AK,3004,5,,XC,1220,5071,0,99,2,X,11,2024
1,AK,3009,5,,XC,1220,793205,0,4469,1,X,11,2024
1,AK,30XX,1,,XC,1220,206411,1396290,2043,1,X,11,2024
1,AK,30XX,3,,XC,1220,8128,930,160,1,X,11,2024
1,AK,3103,5,,XC,1220,4095450,0,40829,1,X,11,2024
1,AK,3104,5,,XY,1220,350594,0,13876,1,X,11,2024
1,AK,3104,5,,XY,1220,852968,0,10016,2,X,11,2024
1,AK,3106,5,,XC,1220,756909,0,14825,1,X,11,2024
1,AK,3106,5,,XC,1220,8836,0,173,2,X,11,2024
1,AK,3126,5,,XY,1220,1209333,0,14334,1,X,11,2024
1,AK,3126,5,,XY,1220,7512,0,70,2,X,11,2024
1,AK,31XX,1,,XC,1220,58803006,44040534,1605610,1,X,11,2024
1,AK,3801,5,,XY,1220,42531,0,918,2,X,11,2024
1,AK,4101,3,,XA,1220,12073,69,235,1,X,11,2024
1,AK,4101,3,,XA,1220,12491,22,243,2,X,11,2024
1,AK,4101,3,,XO,1220,11487,6,225,2,X,11,2024
1,AK,55XX,3,,XC,1220,10221,8,199,1,X,11,2024
1,AK,70XX,8,,XA,1220,3018,0,55,1,X,11,2024
1,AK,70XX,8,,XC,1220,5223,0,120,1,X,11,2024
1,AK,70XX,8,,XC,1220,501,0,23,2,X,11,2024
1,AK,70XX,8,,XO,1220,1811,0,19,1,X,11,2024
1,AK,70XX,8,,XQ,1220,661,0,12,2,X,11,2024
1,AL,0106,5,,XB,1220,336700,0,7107,1,X,11,2024
1,AL,0106,5,,XB,1220,70454,0,1380,2,X,11,2024
1,AL,0115,5,,XB,1220,352461,0,7801,1,X,11,2024
1,AL,0115,5,,XB,1220,3288,0,437,2,X,11,2024
1,AL,0115,5,,XM,1220,223900,0,5134,1,X,11,2024
1,AL,0206,5,,XO,1220,6038,0,448,2,X,11,2024
1,AL,0209,5,,XQ,1220,25360,0,548,1,X,11,2024
1,AL,0701,5,,XO,1220,51172,0,1101,1,X,11,2024
1,AL,0708,5,,XO,1220,3477258,0,40870,1,X,11,2024
1,AL,0708,5,,XO,1220,367609,0,8396,2,X,11,2024
1,AL,0708,5,,XQ,1220,9855,0,354,1,X,11,2024
1,AL,0712,5,,XB,1220,80008,0,997,1,X,11,2024
1,AL,0712,5,,XO,1220,103868,0,5803,1,X,11,2024
1,AL,0712,5,,XQ,1220,3415983,0,50404,1,X,11,2024
1,AL,0712,5,,XQ,1220,2141454,0,27717,2,X,11,2024
1,AL,0712,6,,XQ,1220,356772,0,13208,1,X,11,2024
1,AL,07XX,3,,XQ,1220,52221,30,256,1,X,11,2024
1,AL,0901,5,,XO,1220,61595906,0,607293,1,X,11,2024
1,AL,0901,5,,XO,1220,2879169,0,76955,2,X,11,2024
1,AL,0901,6,,XA,1220,68212,0,3220,1,X,11,2024
1,AL,0901,6,,XO,1220,992421,0,24074,1,X,11,2024
1,AL,09XX,3,,XO,1220,4641,8,71,2,X,11,2024
1,AL,09XX,3,,XQ,1220,33106,29,298,1,X,11,2024
1,AL,09XX,3,,XQ,1220,46490,181,52,2,X,11,2024
1,AL,1012,3,,XQ,1220,17143,62,336,1,X,11,2024
1,AL,1704,3,,XO,1220,3529,17,128,1,X,11,2024
1,AL,17XX,1,XX,,2010,8866022,396517,0,1,0,11,2024
1,AL,17XX,3,XX,,2010,81000,327,0,2,0,11,2024
1,AL,18XX,1,XX,,2010,322000,793899,0,1,0,11,2024
1,AL,18XX,1,XX,,2010,262517,187656,0,1,1,11,2024
1,AL,19XX,1,XX,,2010,50918793,41502075,0,1,0,11,2024
1,AL,19XX,3,XX,,2010,98966,358,0,1,0,11,2024
1,AL,19XX,3,XX,,2010,15501,16,0,2,0,11,2024
1,AL,20XX,1,XX,,2010,76689,87070,0,1,1,11,2024
1,AL,20XX,3,,XA,1220,333026,2606,5208,1,X,11,2024
1,AL,20XX,3,,XA,1220,25290,37,336,2,X,11,2024
1,AL,20XX,3,,XC,1220,38766,1043,595,1,X,11,2024
1,AL,20XX,3,,XC,1220,3561,20,71,2,X,11,2024
1,AL,20XX,3,,XM,1220,46722,141,600,1,X,11,2024
1,AL,20XX,3,,XO,1220,2673510,5684,16397,1,X,11,2024
1,AL,20XX,3,,XO,1220,44476,268,541,2,X,11,2024
1,AL,20XX,3,,XQ,1220,4573694,12487,9501,1,X,11,2024
1,AL,20XX,3,,XQ,1220,1219004,2528,1912,2,X,11,2024
1,AL,20XX,3,XX,,2010,1006191,9135,0,1,0,11,2024
1,AL,20XX,3,XX,,2010,125387,936,0,2,0,11,2024
1,AL,2301,5,CO,,2010,56321,0,0,1,0,11,2024
1,AL,2301,5,NL,,2010,22440,0,0,1,0,11,2024
1,AL,2301,5,OT,,2010,7458919,0,0,1,0,11,2024
1,AL,2301,5,OT,,2010,464130,0,0,2,0,11,2024
1,AL,2301,5,TM,,2010,244184,0,0,1,0,11,2024
1,AL,2301,5,TM,,2010,56718,0,0,2,0,11,2024
1,AL,2301,5,ZA,,2010,821918,0,0,1,0,11,2024
1,AL,2301,5,ZA,,2010,104954,0,0,2,0,11,2024
1,AL,2301,8,TM,,2010,34889,0,0,1,X,11,2024
1,AL,2303,5,CO,,2010,388513,0,0,1,0,11,2024
1,AL,2303,5,CO,,2010,7953,0,0,2,0,11,2024
1,AL,2303,5,DF,,2010,7345,0,0,1,0,11,2024
1,AL,2303,5,DF,,2010,12421,0,0,2,0,11,2024
1,AL,2303,5,DG,,2010,449143,0,0,1,0,11,2024
1,AL,2303,5,HG,,2010,447709,0,0,1,0,11,2024
1,AL,2303,5,MX,,2010,1443062,0,0,1,0,11,2024
1,AL,2303,5,NL,,2010,50088,0,0,1,0,11,2024
1,AL,2303,6,CO,,2010,2887588,0,0,1,0,11,2024
1,AL,2303,6,MX,,2010,683570,0,0,1,0,11,2024
1,AL,2303,6,NL,,2010,6035,0,0,1,0,11,2024
1,AL,2303,6,OT,,2010,151937,0,0,1,0,11,2024
1,AL,2303,8,TM,,2010,3365,0,0,1,X,11,2024
1,AL,2304,5,AG,,2010,725221,0,0,1,0,11,2024
1,AL,2304,5,AG,,2010,35320,0,0,2,0,11,2024
1,AL,2304,5,BC,,2010,30207,0,0,1,0,11,2024
1,AL,2304,5,CH,,2010,754234,0,0,1,0,11,2024
1,AL,2304,5,CM,,2010,111398,0,0,1,0,11,2024
1,AL,2304,5,CM,,2010,26779,0,0,2,0,11,2024
1,AL,2304,5,CO,,2010,2916009,0,0,1,0,11,2024
1,AL,2304,5,CO,,2010,707138,0,0,1,1,11,2024
1,AL,2304,5,CO,,2010,157142,0,0,2,0,11,2024
1,AL,2304,5,DF,,2010,10215162,0,0,1,0,11,2024
1,AL,2304,5,DF,,2010,106227,0,0,2,0,11,2024
1,AL,2304,5,DG,,2010,8437,0,0,2,0,11,2024
1,AL,2304,5,GT,,2010,6839125,0,0,1,0,11,2024
1,AL,2304,5,GT,,2010,70552,0,0,1,1,11,2024
1,AL,2304,5,GT,,2010,140008,0,0,2,0,11,2024
1,AL,2304,5,HG,,2010,4068115,0,0,1,0,11,2024
1,AL,2304,5,HG,,2010,70000,0,0,2,0,11,2024
1,AL,2304,5,JA,,2010,786049,0,0,1,0,11,2024
1,AL,2304,5,JA,,2010,123803,0,0,2,0,11,2024
1,AL,2304,5,MI,,2010,136531,0,0,1,0,11,2024
1,AL,2304,5,MO,,2010,88400,0,0,1,0,11,2024
1,AL,2304,5,MX,,2010,8684703,0,0,1,0,11,2024
1,AL,2304,5,MX,,2010,133083,0,0,1,1,11,2024
1,AL,2304,5,MX,,2010,308880,0,0,2,0,11,2024
1,AL,2304,5,NL,,2010,62932966,0,0,1,0,11,2024
1,AL,2304,5,NL,,2010,679481,0,0,1,1,11,2024
1,AL,2304,5,NL,,2010,43146200,0,0,2,0,11,2024
1,AL,2304,5,NL,,2010,8135,0,0,2,1,11,2024
1,AL,2304,5,OT,,2010,8366656,0,0,1,0,11,2024
1,AL,2304,5,OT,,2010,269209,0,0,2,0,11,2024
1,AL,2304,5,PU,,2010,368763,0,0,1,0,11,2024
1,AL,2304,5,PU,,2010,1424474,0,0,1,1,11,2024
1,AL,2304,5,PU,,2010,752506,0,0,2,0,11,2024
1,AL,2304,5,QT,,2010,2499802,0,0,1,0,11,2024
1,AL,2304,5,QT,,2010,767050,0,0,1,1,11,2024
1,AL,2304,5,QT,,2010,66784,0,0,2,0,11,2024
1,AL,2304,5,SL,,2010,3468166,0,0,1,0,11,2024
1,AL,2304,5,SL,,2010,97800,0,0,1,1,11,2024
1,AL,2304,5,SL,,2010,772293,0,0,2,0,11,2024
1,AL,2304,5,TL,,2010,204062,0,0,1,0,11,2024
1,AL,2304,5,TM,,2010,4813762,0,0,1,0,11,2024
1,AL,2304,5,VE,,2010,10628,0,0,1,0,11,2024
1,AL,2304,5,VE,,2010,6500,0,0,2,0,11,2024
1,AL,2304,5,YU,,2010,37688,0,0,1,0,11,2024
1,AL,2304,6,AG,,2010,19680,0,0,1,0,11,2024
1,AL,2304,6,CH,,2010,150643,0,0,1,0,11,2024
1,AL,2304,6,CO,,2010,125719,0,0,1,1,11,2024
1,AL,2304,6,DF,,2010,1457839,0,0,1,0,11,2024
1,AL,2304,6,GT,,2010,207350,0,0,1,0,11,2024
1,AL,2304,6,HG,,2010,7042668,0,0,1,0,11,2024
1,AL,2304,6,JA,,2010,16531067,0,0,1,0,11,2024
1,AL,2304,6,MX,,2010,14451251,0,0,1,0,11,2024
1,AL,2304,6,NL,,2010,7020092,0,0,1,0,11,2024
1,AL,2304,6,NL,,2010,391398,0,0,1,1,11,2024
1,AL,2304,6,OT,,2010,10684124,0,0,1,0,11,2024
1,AL,2304,6,OT,,2010,98492,0,0,1,1,11,2024
1,AL,2304,6,OT,,2010,83154,0,0,2,1,11,2024
1,AL,2304,6,PU,,2010,108631,0,0,1,0,11,2024
1,AL,2304,6,QT,,2010,1382878,0,0,1,0,11,2024
1,AL,2304,6,QT,,2010,170278,0,0,1,1,11,2024
1,AL,2304,6,SO,,2010,243636,0,0,1,0,11,2024
1,AL,2304,6,TL,,2010,252357,0,0,1,0,11,2024
1,AL,2304,6,TM,,2010,812890,0,0,1,0,11,2024
1,AL,2304,6,VE,,2010,449505,0,0,1,0,11,2024
1,AL,2304,8,DG,,2010,12000,0,0,1,X,11,2024
1,AL,2304,8,GR,,2010,8000,0,0,1,X,11,2024
1,AL,2304,8,GT,,2010,76100,0,0,1,X,11,2024
1,AL,2304,8,HG,,2010,18700,0,0,1,X,11,2024
1,AL,2304,8,JA,,2010,19945,0,0,1,X,11,2024
1,AL,2304,8,MI,,2010,6250,0,0,1,X,11,2024
1,AL,2304,8,MX,,2010,226739,0,0,1,X,11,2024
1,AL,2304,8,NL,,2010,421705,0,0,1,X,11,2024
1,AL,2304,8,PU,,2010,8900,0,0,1,X,11,2024
1,AL,2304,8,QR,,2010,29500,0,0,1,X,11,2024
1,AL,2304,8,QT,,2010,46554,0,0,1,X,11,2024
1,AL,2304,8,TM,,2010,21500,0,0,1,X,11,2024
1,AL,2304,8,VE,,2010,46765,0,0,1,X,11,2024
1,AL,2305,5,BC,,2010,61592,0,0,1,0,11,2024
1,AL,2305,5,CH,,2010,11199,0,0,1,0,11,2024
1,AL,2305,5,MX,,2010,135653,0,0,1,0,11,2024
1,AL,2305,5,MX,,2010,410349,0,0,2,0,11,2024
1,AL,2305,5,NL,,2010,119271,0,0,1,0,11,2024
1,AL,2305,5,OT,,2010,16822,0,0,1,0,11,2024
1,AL,2305,5,QT,,2010,2535,0,0,1,0,11,2024
1,AL,2305,5,QT,,2010,35723,0,0,2,0,11,2024
1,AL,2305,5,TM,,2010,5304414,0,0,1,0,11,2024
1,AL,2305,8,NL,,2010,5799,0,0,1,X,11,2024
1,AL,2305,8,TM,,2010,119261,0,0,1,X,11,2024
