TRDTYPE,USASTATE,COMMODITY2,DISAGMOT,MEXSTATE,CANPROV,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,AK,02,5,JA,,2010,40665,0,0,1,0,11,2024
1,AK,03,5,,XC,1220,223946,0,3509,1,X,11,2024
1,AK,03,5,,XY,1220,959656,0,13148,1,X,11,2024
1,AK,10,5,NL,,2010,16432,0,0,1,0,11,2024
1,AK,15,5,,XC,1220,162104,0,1825,1,X,11,2024
1,AK,16,5,,XC,1220,4085194,0,40430,1,X,11,2024
1,AK,23,5,,XC,1220,793205,0,4469,1,X,11,2024
1,AK,26,1,,XC,1220,58803006,44040534,1605610,1,X,11,2024
1,AK,27,5,,XC,1220,4819549,0,55013,1,X,11,2024
1,AK,28,5,,XY,1220,13506,0,2020,1,X,11,2024
1,AK,39,5,,XY,1220,15981,0,315,1,X,11,2024
1,AK,39,5,MX,,2010,60587,0,0,1,0,11,2024
1,AK,39,5,TL,,2010,8698,0,0,2,0,11,2024
1,AK,40,3,,XC,1220,4091,12,69,1,X,11,2024
1,AK,42,3,,XA,1220,2686,8,52,1,X,11,2024
1,AK,44,1,,XC,1220,206411,1396290,2043,1,X,11,2024
1,AK,48,5,DF,,2010,29505,0,0,1,0,11,2024
1,AK,48,5,SL,,2010,20317,0,0,1,0,11,2024
1,AK,49,3,,XQ,1220,2551,1,50,1,X,11,2024
1,AK,56,5,NL,,2010,161965,0,0,2,0,11,2024
1,AK,63,3,,XC,1220,12765,1460,381,1,X,11,2024
1,AK,63,3,,XM,1220,4704,552,0,1,X,11,2024
1,AK,63,3,,XO,1220,13854,1081,271,1,X,11,2024
1,AK,64,3,,XC,1220,2935,12,71,1,X,11,2024
1,AK,70,5,,XC,1220,26866,0,525,1,X,11,2024
1,AK,73,3,,XC,1220,3222,98,101,1,X,11,2024
1,AK,73,5,,XC,1220,8836,0,173,2,X,11,2024
1,AK,73,5,,XY,1220,35034,0,779,1,X,11,2024
1,AK,73,5,TL,,2010,15865,0,0,1,0,11,2024
1,AK,73,5,TL,,2010,3310,0,0,2,0,11,2024
1,AK,75,3,,XA,1220,9336,65,182,1,X,11,2024
1,AK,76,5,NL,,2010,526631,0,0,1,0,11,2024
1,AK,76,5,NL,,2010,7164,0,0,2,0,11,2024
1,AK,82,3,,XA,1220,11349,37,222,1,X,11,2024
1,AK,84,3,,XA,1220,11074,20,216,1,X,11,2024
1,AK,84,3,,XC,1220,3297,1,71,1,X,11,2024
1,AK,84,5,,XY,1220,408500,0,5254,1,X,11,2024
1,AK,84,5,,XY,1220,814949,0,9271,2,X,11,2024
1,AK,84,5,CM,,2010,61181,0,0,2,0,11,2024
1,AK,84,5,CO,,2010,5175,0,0,1,0,11,2024
1,AK,84,5,MX,,2010,275248,0,0,1,0,11,2024
1,AK,84,5,NL,,2010,4118,0,0,1,0,11,2024
1,AK,84,5,NL,,2010,31300,0,0,2,0,11,2024
1,AK,85,3,,XC,1220,42076,56,532,1,X,11,2024
1,AK,85,5,,XC,1220,3835,0,75,1,X,11,2024
1,AK,85,5,,XC,1220,2903,0,63,2,X,11,2024
1,AK,85,5,,XY,1220,13128,0,136,1,X,11,2024
1,AK,85,5,NL,,2010,44385,0,0,1,0,11,2024
1,AK,85,5,NL,,2010,49258,0,0,2,0,11,2024
1,AK,85,5,QT,,2010,14220,0,0,2,0,11,2024
1,AK,85,5,TL,,2010,27048,0,0,1,0,11,2024
1,AK,86,5,,XC,1220,5944,0,116,1,X,11,2024
1,AK,86,5,,XY,1220,3012,0,35,1,X,11,2024
1,AK,87,5,,XY,1220,7512,0,70,2,X,11,2024
1,AK,88,3,,XA,1220,10192,23,316,1,X,11,2024
1,AK,88,3,,XC,1220,26244,14,476,1,X,11,2024
1,AK,88,3,,XM,1220,18071,26,0,1,X,11,2024
1,AK,88,3,,XO,1220,11408,30,213,1,X,11,2024
1,AK,88,3,,XQ,1220,11060,6,71,1,X,11,2024
1,AK,88,3,XX,,2010,4091,1,0,1,0,11,2024
1,AK,88,5,,XC,1220,3720,0,67,1,X,11,2024
1,AK,88,5,,XC,1220,5071,0,99,2,X,11,2024
1,AK,88,5,,XY,1220,89833,0,6176,1,X,11,2024
1,AK,88,5,,XY,1220,42531,0,918,2,X,11,2024
1,AK,90,3,,XA,1220,7861,16,153,1,X,11,2024
1,AK,90,3,,XA,1220,12491,22,243,2,X,11,2024
1,AK,90,3,,XC,1220,3621,1,70,1,X,11,2024
1,AK,90,3,,XO,1220,26727,60,123,1,X,11,2024
1,AK,90,3,,XO,1220,11487,6,225,2,X,11,2024
1,AK,90,5,,XC,1220,5107,0,100,1,X,11,2024
1,AK,90,5,,XY,1220,21277,0,347,1,X,11,2024
1,AK,90,5,,XY,1220,38019,0,745,2,X,11,2024
1,AK,90,5,MX,,2010,4107,0,0,1,0,11,2024
1,AK,94,5,,XC,1220,3646,0,20,1,X,11,2024
1,AK,94,5,NL,,2010,20362,0,0,1,0,11,2024
1,AK,94,5,NL,,2010,46543,0,0,2,0,11,2024
1,AK,97,5,,XC,1220,3673,0,72,1,X,11,2024
1,AK,98,8,,XA,1220,3018,0,55,1,X,11,2024
1,AK,98,8,,XC,1220,5223,0,120,1,X,11,2024
1,AK,98,8,,XC,1220,501,0,23,2,X,11,2024
1,AK,98,8,,XO,1220,1811,0,19,1,X,11,2024
1,AK,98,8,,XQ,1220,661,0,12,2,X,11,2024
