TRDTYPE,DEPE,COMMODITY2,DISAGMOT,COUNTRY,VALUE,SHIPWT,FREIGHT_CHARGES,DF,CONTCODE,MONTH,YEAR
1,0101,03,5,1220,7000,0,153,1,X,11,2024
1,0101,32,5,1220,14731,0,1877,1,X,11,2024
1,0101,39,5,1220,96717,0,679,1,X,11,2024
1,0101,40,5,1220,42851,0,1695,1,X,11,2024
1,0101,57,5,1220,10023,0,370,1,X,11,2024
1,0101,72,6,1220,66740,0,1657,1,X,11,2024
1,0101,73,5,1220,23054,0,1652,1,X,11,2024
1,0101,73,5,1220,10706,0,128,2,X,11,2024
1,0101,73,6,1220,40315,0,1635,1,X,11,2024
1,0101,74,5,1220,15600,0,419,1,X,11,2024
1,0101,74,5,1220,6125,0,230,2,X,11,2024
1,0101,76,5,1220,13511,0,1703,1,X,11,2024
1,0101,84,5,1220,55931,0,1056,1,X,11,2024
1,0101,84,5,1220,15302,0,328,2,X,11,2024
1,0101,85,5,1220,10406,0,245,1,X,11,2024
1,0101,88,5,1220,4429,0,110,1,X,11,2024
1,0101,90,5,1220,4411,0,123,1,X,11,2024
1,0102,44,5,1220,6417,0,160,1,X,11,2024
1,0102,72,6,1220,14381,0,357,1,X,11,2024
1,0103,03,5,1220,53521,0,1170,1,X,11,2024
1,0103,03,8,1220,111912,0,2446,1,X,11,2024
1,0103,73,5,1220,21230,0,861,1,X,11,2024
1,0103,84,5,1220,21690,0,746,1,X,11,2024
1,0103,89,5,1220,89626,0,0,1,X,11,2024
1,0104,01,5,1220,56519,0,1070,1,X,11,2024
1,0104,15,5,1220,128478,0,1271,2,X,11,2024
1,0104,25,5,1220,49942,0,975,1,X,11,2024
1,0104,28,5,1220,25082,0,3220,1,X,11,2024
1,0104,29,5,1220,34243,0,669,1,X,11,2024
1,0104,32,5,1220,4466,0,87,1,X,11,2024
1,0104,32,5,1220,3061,0,107,2,X,11,2024
1,0104,38,5,1220,72409,0,991,1,X,11,2024
1,0104,39,5,1220,228315,0,6619,1,X,11,2024
1,0104,40,5,1220,131664,0,9145,1,X,11,2024
1,0104,40,5,1220,9564,0,186,2,X,11,2024
1,0104,44,5,1220,8654767,0,205962,1,X,11,2024
1,0104,47,5,1220,1363995,0,25745,1,X,11,2024
1,0104,47,6,1220,255286,0,3771,1,X,11,2024
1,0104,48,5,1220,7671738,0,491593,1,X,11,2024
1,0104,48,6,1220,314458,0,3112,1,X,11,2024
1,0104,54,5,1220,20120,0,196,1,X,11,2024
1,0104,55,5,1220,217917,0,2325,1,X,11,2024
1,0104,59,5,1220,42594,0,1893,1,X,11,2024
1,0104,62,5,1220,7349,0,54,2,X,11,2024
1,0104,63,5,1220,52596,0,521,1,X,11,2024
1,0104,68,5,1220,94634,0,2399,1,X,11,2024
1,0104,69,5,1220,3589,0,104,1,X,11,2024
1,0104,70,5,1220,20001,0,1144,2,X,11,2024
1,0104,72,5,1220,59815,0,1396,1,X,11,2024
1,0104,72,6,1220,888883,0,22083,1,X,11,2024
1,0104,73,5,1220,63764,0,5267,1,X,11,2024
1,0104,74,5,1220,7633,0,170,1,X,11,2024
1,0104,76,5,1220,26406,0,3329,1,X,11,2024
1,0104,84,5,1220,653706,0,12409,1,X,11,2024
1,0104,84,5,1220,34396,0,738,2,X,11,2024
1,0104,85,5,1220,24288,0,277,1,X,11,2024
1,0104,86,5,1220,16442,0,243,1,X,11,2024
1,0104,87,5,1220,937457,0,23159,1,X,11,2024
1,0104,87,5,1220,27120,0,788,2,X,11,2024
1,0104,90,5,1220,12874,0,162,1,X,11,2024
1,0104,95,5,1220,6646,0,243,1,X,11,2024
1,0104,95,5,1220,7462,0,357,2,X,11,2024
1,0105,22,5,1220,20681,0,1605,1,X,11,2024
1,0105,25,6,1220,11727,0,71,1,X,11,2024
1,0105,25,6,1220,1127160,0,106429,2,X,11,2024
1,0105,27,6,1220,728444,0,9191,1,X,11,2024
1,0105,28,6,1220,63192,0,142,1,X,11,2024
1,0105,44,6,1220,931636,0,18531,1,X,11,2024
1,0105,54,5,1220,12679,0,722,1,X,11,2024
1,0105,56,5,1220,4734,0,530,1,X,11,2024
1,0105,63,5,1220,5346,0,40,1,X,11,2024
1,0105,63,5,1220,6179,0,234,2,X,11,2024
1,0105,68,6,1220,695638,0,20365,1,X,11,2024
1,0105,84,5,1220,26669,0,794,2,X,11,2024
1,0105,95,5,1220,19470,0,2118,1,X,11,2024
1,0106,01,5,1220,316511,0,11602,1,X,11,2024
1,0106,03,5,1220,10390815,0,166163,1,X,11,2024
1,0106,03,5,1220,975567,0,19391,2,X,11,2024
1,0106,04,5,1220,147067,0,1430,1,X,11,2024
1,0106,05,5,1220,22896,0,448,1,X,11,2024
1,0106,06,5,1220,15024,0,1338,1,X,11,2024
1,0106,06,5,1220,9093,0,8,2,X,11,2024
1,0106,07,5,1220,11653,0,1925,1,X,11,2024
1,0106,08,5,1220,403144,0,5271,1,X,11,2024
1,0106,08,5,1220,1981562,0,58492,2,X,11,2024
1,0106,09,5,1220,6534,0,127,1,X,11,2024
1,0106,10,5,1220,14346,0,492,1,X,11,2024
1,0106,10,5,1220,7877,0,674,2,X,11,2024
1,0106,11,5,1220,48682,0,7564,1,X,11,2024
1,0106,12,5,1220,196655,0,12899,1,X,11,2024
1,0106,12,5,1220,603635,0,574,2,X,11,2024
1,0106,15,5,1220,51979,0,514,1,X,11,2024
1,0106,17,5,1220,36850,0,3209,2,X,11,2024
1,0106,18,5,1220,48757,0,4745,1,X,11,2024
1,0106,19,5,1220,1354381,0,100839,1,X,11,2024
